frame,class,x1,y1,x2,y2,confidence
0,person,1147,402,1279,713,0.742186427116394
0,person,741,318,1050,714,0.6714662909507751
1,person,1150,399,1279,713,0.7424802780151367
1,person,742,316,1050,714,0.6791950464248657
2,person,1152,400,1279,714,0.7268745303153992
2,person,743,324,1049,714,0.6682999134063721
3,person,1155,396,1279,713,0.7172071933746338
3,person,743,319,1049,713,0.6700344085693359
4,person,1160,397,1279,713,0.7377580404281616
4,person,745,320,1049,714,0.698978066444397
5,person,1164,393,1279,714,0.7106198668479919
5,person,745,332,1049,714,0.6825495958328247
6,person,1169,397,1279,714,0.7086531519889832
6,person,745,315,1050,714,0.6934347748756409
7,person,1174,400,1279,713,0.6937130093574524
7,person,744,317,1051,714,0.6796135902404785
8,person,1179,396,1279,713,0.7034541964530945
8,person,743,316,1051,713,0.6203539371490479
9,person,1182,403,1279,713,0.6707675457000732
9,person,745,322,1049,713,0.6027851104736328
10,person,1187,407,1279,713,0.6941762566566467
10,person,733,315,1049,712,0.6673539280891418
11,person,1191,404,1279,713,0.6490387916564941
11,person,729,323,1049,715,0.6407172083854675
12,person,736,322,1047,714,0.6691098809242249
12,person,1197,410,1279,713,0.6122183799743652
13,person,736,326,1047,714,0.6730790138244629
13,person,1202,413,1279,712,0.5821830630302429
14,person,735,320,1048,713,0.6498754024505615
14,person,1210,413,1279,712,0.4485950469970703
15,person,1218,419,1279,719,0.6424162983894348
15,person,727,311,1052,714,0.5974326729774475
16,person,1221,422,1279,718,0.5570392608642578
16,person,736,315,1052,713,0.473028302192688
17,person,1220,433,1279,719,0.6662474870681763
17,person,736,324,1053,713,0.5367915034294128
18,person,736,321,1053,713,0.5621113777160645
18,person,1224,437,1279,717,0.5526369214057922
19,person,1229,445,1279,717,0.5484902858734131
19,person,730,324,1054,712,0.458723247051239
20,person,1233,456,1279,717,0.44240865111351013
20,person,730,330,1054,711,0.4098874032497406
21,person,729,331,1055,712,0.48054197430610657
21,person,1235,467,1279,715,0.39055588841438293
22,person,1232,484,1279,719,0.44531893730163574
22,person,733,332,1056,712,0.43094488978385925
23,person,732,331,1057,714,0.43054676055908203
23,person,1232,491,1279,719,0.36883845925331116
